株式,かぶしき
発揮,はっき
縦断,じゅうだん
創造,そうぞう
著者,ちょしゃ
郵便,ゆうびん
宇宙,うちゅう
射的,しゃてき
胸筋,きょうきん
宣言,せんげん
専門,せんもん
机上,きじょう
空論,くうろん
吸飲,きゅういん
賃貸,ちんたい
糖分,とうぶん
窓口,まどぐち
額面,がくめん
俳優,はいゆう
宝刀,ほうとう
奮起,ふんき
頭痛,ずつう
一層,いっそう
臨時,りんじ
暖冬,だんとう
朗報,ろうほう
系統,けいとう
故障,こしょう
磁力,じりょく
誤飲,ごいん
沿岸,えんがん
樹皮,じゅひ
郷土,きょうど
看病,かんびょう
誠意,せいい
厳格,げんかく
灰皿,はいざら
干潮,かんちょう
墓穴,ぼけつ
異論,いろん
海域,かいいき
上映,じょうえい
延長,えんちょう
沿革,えんかく
拡散,かくさん
割合,わりあい
株,かぶ
看護,かんご
簡単,かんたん
危険,きけん
机,つくえ
貴重,きちょう
故郷,こきょう
勤務,きんむ
敬語,けいご
警察,けいさつ
穀物,こくもつ
困難,こんなん
正座,せいざ
決済,けっさい
対策,たいさく
姿勢,しせい
視力,しりょく
歌詞,かし
収納,しゅうのう
就職,しゅうしょく
処理,しょり
負傷,ふしょう
論文,ろんぶん
秘密,ひみつ
操作,そうさ
演奏,えんそう
尊敬,そんけい
展示,てんじ
善良,ぜんりょう
散策,さんさく
全権,ぜんけん
警笛,けいてき
正視,せいし
善処,ぜんしょ
規律,きりつ
借覧,しゃくらん
口腹,こうふく
純情,じゅんじょう
保存,ほぞん
遺産,いさん
尺八,しゃくはち
蒸気,じょうき
手段,しゅだん
派手,はで
片道,かたみち
革新,かくしん
不幸,ふこう
宗教,しゅうきょう
仁術,じんじゅつ
値段,ねだん
幼児,ようじ
砂地,すなち
背後,はいご
食欲,しょくよく
灰,はい
指揮,しき
絹,きぬ
蚕,かいこ
公私,こうし
署名,しょめい
寸前,すんぜん
庁舎,ちょうしゃ
肺活量,はいかつりょう
翌日,よくじつ
拡張,かくちょう
我,われ
自己,じこ
聖火,せいか
山頂,さんちょう
班長,はんちょう
死亡,しぼう
天守閣,てんしゅかく
内閣,ないかく
紅白,こうはく
城門,じょうもん
泉,いずみ
討論,とうろん
毎晩,まいばん
卵,たまご
役割,やくわり
胸,むね
鋼鉄,こうてつ
観衆,かんしゅう
針,はり
政党,せいとう
否定,ひてい
鉄棒,てつぼう
裏,うら
絵巻物,えまきもの
骨,ほね
縮小,しゅくしょう
推理,すいり
装置,そうち
批判,ひはん
枚数,まいすう
簡潔,かんけつ
憲法,けんぽう
冊子,さっし
諸国,しょこく
貯蔵,ちょぞう
担当,たんとう
牛乳,ぎゅうにゅう
開幕,かいまく
地域,ちいき
資源,しげん
至る,いたる
将来,しょうらい
臓器,ぞうき
探検,たんけん
陛下,へいか
加盟,かめい
貴族,きぞく
忠告,ちゅうこく
皇后,こうごう
雑誌,ざっし
帰宅,きたく
誕生,たんじょう
首脳,しゅのう
模型,もけい
延期,えんき
疑問,ぎもん
呼吸,こきゅう
絹糸,きぬいと
注射,ちゅうしゃ
公衆,こうしゅう
垂直,すいちょく
服装,ふくそう
発展,はってん
権利,けんり
口紅,くちべに
一冊,いっさつ
取捨,しゅしゃ
築城,ちくじょう
推定,すいてい
価値,かち
提供,ていきょう
立憲,りっけん
降下,こうか
養蚕,ようさん
主従,しゅじゅう
障子,しょうじ
寸断,すんだん
地層,ちそう
官庁,かんちょう
検討,けんとう
度胸,どきょう
水源,すいげん
鉄骨,てっこつ
姿,すがた
縮尺,しゅくしゃく
解除,かいじょ
宣伝,せんでん
住宅,じゅうたく
階段,かいだん
勤勉,きんべん
源,みなもと
穀類,こくるい
私服,しふく
就任,しゅうにん
将校,しょうこう
誠実,せいじつ
体操,たいそう
温暖,おんだん
党首,とうしゅ
筋道,すじみち
定刻,ていこく
至急,しきゅう
若葉,わかば
傷口,きずぐち
地蔵,じぞう
著名,ちょめい
乳,ちち
近視,きんし
縦横,じゅうおう
仁愛,じんあい
独奏,どくそう
負担,ふたん
黒潮,くろしお
背景,はいけい
観劇,かんげき
砂場,すなば
週刊誌,しゅうかんし
樹木,じゅもく
温泉,おんせん
存在,そんざい
登頂,とうちょう
参拝,さんぱい
感激,かんげき
孝行,こうこう
座席,ざせき
磁石,じしゃく
収入,しゅうにゅう
方針,ほうしん
洗顔,せんがん
内蔵,ないぞう
忠実,ちゅうじつ
節穴,ふしあな
皇室,こうしつ
救済,きゅうさい
裁判,さいばん
単純,たんじゅん
専念,せんねん
尊重,そんちょう
賃金,ちんぎん
俳句,はいく
晩秋,ばんしゅう
神秘,しんぴ
並列,へいれつ
補修,ほしゅう
相棒,あいぼう
密集,みっしゅう
優勝,ゆうしょう
混乱,こんらん
法律,ほうりつ
否決,ひけつ
腹,はら
閉店,へいてん
宝,たから
枚挙,まいきょ
盟友,めいゆう
意欲,いよく
回覧,かいらん
明朗,めいろう
異国,いこく
批評,ひひょう
興奮,こうふん
片側,かたがわ
訪問,ほうもん
幕内,まくうち
模様,もよう
翌週,よくしゅう
裏庭,うらにわ
区域,くいき
映像,えいぞう
簡便,かんべん
劇的,げきてき
皇居,こうきょ
返済,へんさい
樹液,じゅえき
傷,きず
善悪,ぜんあく
運賃,うんちん
補給,ほきゅう
危機,きき
過激,かげき
紅茶,こうちゃ
洋裁,ようさい
収録,しゅうろく
保障,ほしょう
車窓,しゃそう
苦痛,くつう
宝庫,ほうこ
改革,かいかく
吸収,きゅうしゅう
穴,あな
乗降,じょうこう
姿見,すがたみ
従順,じゅうじゅん
蒸発,じょうはつ
高層,こうそう
展開,てんかい
密度,みつど
閣議,かくぎ
郷里,きょうり
特権,とっけん
骨身,ほねみ
注視,ちゅうし
縦,たて
針金,はりがね
存続,そんぞく
難易,なんい
優良,ゆうりょう
筋肉,きんにく
厳禁,げんきん
困苦,こんく
磁針,じしん
短縮,たんしゅく
推察,すいさつ
存分,ぞんぶん
納税,のうぜい
散乱,さんらん
巻紙,まきがみ
敬老,けいろう
点呼,てんこ
砂糖,さとう
処置,しょち
専用,せんよう
背骨,せぼね
遊覧,ゆうらん
看板,かんばん
警報,けいほう
正誤,せいご
星座,せいざ
若気,わかげ
除去,じょきょ
洗面,せんめん
分担,ぶんたん
朗読,ろうどく
